Name,Discount_percentage,Price,Rating,Release,Ends,Started,Jogos Gratis
Half-Life 2,-100%,"R$ 0,00",96.39%,11/2004,in 3 days,1 hour ago,free
Left 4 Dead 2,-80%,"R$ 6,60",96.74%,11/2009,in 3 days,yesterday,
Isonzo,-67%,"R$ 29,36",81.07%,09/2022,in 12 days,yesterday,
Millennia,-50%,"R$ 84,99",67.10%,03/2024,in 11 days,3 days ago,
Sea Power : Naval Combat in the Missile Age,-10%,"R$ 121,49",81.63%,11/2024,in 11 days,4 days ago,
Mouthwashing,-10%,"R$ 37,79",94.27%,09/2024,in 3 days,4 days ago,
STORY OF SEASONS: Friends of Mineral Town,-75%,"R$ 23,49",90.72%,07/2020,in 4 days,10 days ago,
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,-90%,"R$ 4,99",90.61%,09/2011,in 3 days,4 days ago,
Wall World,-70%,"R$ 5,09",89.06%,04/2023,in 7 days,7 days ago,
Anger Foot,-30%,"R$ 51,79",88.88%,07/2024,in 3 days,11 days ago,
Rune Factory 3 Special,-60%,"R$ 55,99",88.67%,09/2023,in 4 days,10 days ago,
Assemble with Care,-70%,"R$ 7,94",88.14%,03/2020,in 14 days,5 hours ago,
Grounded,-50%,"R$ 98,86",87.75%,09/2022,in 3 days,5 hours ago,
Maniac,-35%,"R$ 11,04",87.25%,03/2024,,,
Coffee Caravan,-25%,"R$ 28,86",86.68%,05/2024,,,
Rising Storm 2: Vietnam,-95%,"R$ 2,29",85.29%,05/2017,,,
Ratopia,-25%,"R$ 44,99",84.64%,11/2023,,,
Castle Of Alchemists,-55%,"R$ 6,74",84.18%,05/2023,,,
Rune Factory 4 Special,-70%,"R$ 35,99",83.87%,12/2021,,,
Swords and Sandals Immortals,-60%,"R$ 13,19",81.72%,03/2023,,,
STORY OF SEASONS: Pioneers of Olive Town,-65%,"R$ 55,99",80.51%,09/2021,,,
Half-Life 2: Episode Two,-100%,"R$ 0,00",95.16%,10/2007,—,,free
shapez 2,-25%,"R$ 41,24",95.07%,08/2024,,,
Half-Life 2: Episode One,-100%,"R$ 0,00",93.76%,06/2006,—,,free
候鸟,-50%,"R$ 11,39",93.75%,01/2023,,,
The Legend of Heroes: Trails in the Sky SC,-35%,"R$ 45,49",93.68%,10/2015,,,
月に寄りそう乙女の作法,-43%,"R$ 43,02",93.47%,06/2022,,,
Insomnia: Theater in the Head,-26%,"R$ 6,46",92.92%,12/2022,,,
"Little Kitty, Big City",-30%,"R$ 51,79",92.67%,05/2024,,,
Cassette Beasts,-50%,"R$ 29,99",92.34%,04/2023,,,
Sticky Business,-33%,"R$ 22,10",91.99%,07/2023,,,
BZZZT,-60%,"R$ 7,99",91.72%,11/2023,,,
The Legend of Heroes: Trails of Cold Steel,-50%,"R$ 36,49",91.51%,08/2017,,,
Battle Chef Brigade Deluxe,-85%,"R$ 5,69",91.38%,11/2017,,,
Kitsune Tails,-20%,"R$ 31,99",91.25%,08/2024,,,
SENRAN KAGURA ESTIVAL VERSUS,-70%,"R$ 17,39",91.10%,03/2017,,,
SENRAN KAGURA SHINOVI VERSUS,-60%,"R$ 15,19",91.09%,06/2016,,,
BLUE REVOLVER,-51%,"R$ 13,71",90.99%,10/2016,,,
ASTRONEER,-67%,"R$ 29,36",90.89%,12/2016,,,
The Legend of Heroes: Trails in the Sky,-50%,"R$ 18,49",90.84%,07/2014,,,
突然＊恋人,-30%,"R$ 62,29",90.82%,04/2024,,,
Otome Riron to Sono Shuuhen -École de Paris-,-33%,"R$ 72,35",90.25%,12/2023,,,
Iron Meat,-20%,"R$ 47,99",90.06%,09/2024,,,
The Legend of Heroes: Trails in the Sky the 3rd,-25%,"R$ 41,99",89.72%,05/2017,,,
Tavern Master,-67%,"R$ 9,56",89.71%,11/2021,,,
The Legend of Heroes: Trails of Cold Steel II,-50%,"R$ 36,49",89.68%,02/2018,,,
Fate/EXTELLA LINK,-70%,"R$ 28,19",89.62%,03/2019,,,
The Operator,-15%,"R$ 37,81",89.58%,07/2024,,,
Ys Origin,-75%,"R$ 9,24",89.53%,05/2012,,,
We Were Here Expeditions: The FriendShip,-50%,"R$ 6,89",89.33%,09/2023,,,
We Were Here Forever,-50%,"R$ 27,49",89.33%,05/2022,,,
Venba,-50%,"R$ 23,49",89.27%,07/2023,,,
Paradise Killer,-75%,"R$ 14,99",89.25%,09/2020,,,
Sakuna: Of Rice and Ruin,-50%,"R$ 37,74",88.99%,11/2020,,,
SENRAN KAGURA Burst Re:Newal,-70%,"R$ 17,39",88.97%,01/2019,,,
Shawarma Legend,-35%,"R$ 12,67",88.81%,07/2024,,,
Half-Life 2: Deathmatch,-100%,"R$ 0,00",88.44%,11/2004,—,,free
Touhou: Scarlet Curiosity,-70%,"R$ 8,69",88.17%,07/2018,,,
Fate/EXTELLA,-65%,"R$ 26,42",87.78%,07/2017,,,
Backpack Battles,-20%,"R$ 33,59",87.46%,03/2024,,,
SENRAN KAGURA Bon Appétit! - Full Course,-75%,"R$ 9,49",87.37%,11/2016,,,
Potionomics,-20%,"R$ 37,99",87.33%,10/2022,,,
Corpse Party (2021),-55%,"R$ 34,39",87.27%,10/2021,,,
Ys: Memories of Celceta,-40%,"R$ 28,49",87.14%,07/2018,,,
METAL SLUG 3,-80%,"R$ 2,99",87.09%,02/2014,,,
Torn Away,-40%,"R$ 28,19",87.08%,09/2023,,,
Apollo Justice: Ace Attorney Trilogy,-40%,"R$ 127,80",87.06%,01/2024,,,
Zwei: The Ilvard Insurrection,-60%,"R$ 15,19",87.05%,10/2017,,,
Half-Life 2: Lost Coast,-100%,"R$ 0,00",87.03%,10/2005,—,,free
"Cook, Serve, Delicious! 3?!",-80%,"R$ 7,59",87.03%,10/2020,,,
Xanadu Next,-70%,"R$ 8,69",86.99%,11/2016,,,
Ys SEVEN,-40%,"R$ 27,59",86.95%,08/2017,,,
Sea of Stars,-33%,"R$ 66,99",86.90%,08/2023,,,
"Good Pizza, Great Pizza - Cooking Simulator Game",-50%,"R$ 14,00",86.79%,01/2023,,,
Tavern Talk,-20%,"R$ 43,99",86.25%,06/2024,,,
METAL SLUG,-80%,"R$ 3,19",86.12%,06/2015,,,
Vanity Fair: The Pursuit,-25%,"R$ 24,75",85.57%,02/2024,,,
Nitroplus Blasterz: Heroines Infinite Duel,-75%,"R$ 9,49",85.39%,12/2016,,,
River Town Factory,-33%,"R$ 31,48",85.36%,02/2024,,,
Lost Castle / 失落城堡,-60%,"R$ 7,99",85.24%,09/2016,,,
EVERSPACE™ 2,-60%,"R$ 55,99",85.13%,04/2023,,,
Ys VI: The Ark of Napishtim,-75%,"R$ 9,24",85.02%,04/2015,,,
METAL SLUG X,-80%,"R$ 3,19",85.00%,10/2014,,,
月球坠落时 Moon Fall,-77%,"R$ 6,66",85.00%,08/2020,,,
"Magical Mic Duel: Senpai, Hear My Spell",-50%,"R$ 11,75",84.95%,05/2024,,,
Enshrouded,-20%,"R$ 71,99",84.49%,01/2024,,,
Tavern Manager Simulator 🍻,-20%,"R$ 31,99",84.26%,08/2024,,,
Prison Simulator,-47%,"R$ 20,13",83.73%,11/2021,,,
Monster Hunter Stories,-20%,"R$ 103,20",83.63%,06/2024,,,
METAL SLUG 2,-80%,"R$ 2,79",83.50%,04/2016,,,
STAR WARS™: Bounty Hunter™,-25%,"R$ 44,99",82.94%,08/2024,,,
Chef RPG,-10%,"R$ 53,99",82.88%,09/2024,,,
Chef Life: A Restaurant Simulator,-70%,"R$ 26,69",81.57%,02/2023,,,
A Perfect Day,-41%,"R$ 35,39",81.27%,02/2022,,,
Anomaly Collapse,-16%,"R$ 50,39",80.20%,04/2024,,,
"Warhammer 40,000: Rogue Trader",-40%,"R$ 74,99",79.64%,12/2023,,,
EA SPORTS FC™ 25,-50%,"R$ 149,50",46.06%,09/2024,,,
Phoenix Wright: Ace Attorney Trilogy,-67%,"R$ 23,09",95.58%,04/2019,,,
The Case of the Golden Idol,-40%,"R$ 22,79",95.17%,10/2022,,,
Lost in Play,-60%,"R$ 20,00",94.77%,08/2022,,,
Crime Scene Cleaner,-20%,"R$ 44,79",94.75%,08/2024,in 12 days,2 days ago,
LIZARDS MUST DIE,-50%,"R$ 3,49",94.59%,09/2023,in 3 days,11 days ago,
Stacklands,-40%,"R$ 15,89",94.31%,04/2022,in 12 days,2 days ago,
Aokana - Four Rhythms Across the Blue - EXTRA2,-27%,"R$ 54,01",94.28%,12/2022,in 3 days,4 days ago,
A Space for the Unbound,-40%,"R$ 35,99",93.96%,01/2023,in 12 days,2 days ago,
Epiphyllum in Love,-40%,"R$ 7,20",93.82%,03/2020,in 3 days,4 days ago,
Total War: MEDIEVAL II – Definitive Edition,-75%,"R$ 21,24",93.72%,11/2006,in 3 days,4 days ago,
Winter Memories,-20%,"R$ 30,39",93.70%,01/2024,in 11 days,yesterday,
Frog Detective 3: Corruption at Cowboy County,-45%,"R$ 9,34",93.66%,10/2022,in 3 days,4 days ago,
Loddlenaut,-50%,"R$ 27,49",93.59%,11/2023,in 6 days,yesterday,
Game Dev Tycoon,-75%,"R$ 7,49",93.49%,08/2013,in 4 days,10 days ago,
PlateUp!,-66%,"R$ 20,39",93.05%,08/2022,in 10 days,4 days ago,
Against the Storm,-50%,"R$ 34,99",92.92%,12/2023,in 8 days,6 days ago,
Snufkin: Melody of Moominvalley,-20%,"R$ 47,99",92.85%,03/2024,in 3 days,11 days ago,
Cobalt Core,-25%,"R$ 44,99",92.55%,11/2023,in 5 days,2 days ago,
Pentiment,-50%,"R$ 49,50",92.05%,11/2022,in 3 days,5 hours ago,
恋爱绮谭 不存在的真相,-33%,"R$ 18,68",92.02%,10/2022,,,
Empires of the Undergrowth,-50%,"R$ 34,99",91.83%,06/2024,,,
小白兔电商~Bunny e-Shop,-33%,"R$ 18,75",91.68%,11/2021,,,
Bagel Love Story,-10%,"R$ 12,41",91.68%,05/2024,,,
Dystopika,-20%,"R$ 18,80",91.50%,06/2024,,,
Wandersong,-75%,"R$ 9,24",91.41%,09/2018,,,
Arco,-20%,"R$ 40,00",91.37%,08/2024,,,
The Great Ace Attorney Chronicles,-60%,"R$ 47,99",91.21%,07/2021,,,
Cyber Manhunt,-45%,"R$ 21,99",91.15%,02/2021,,,
恋爱绮谭~不存在的夏天~,-50%,"R$ 9,29",91.13%,10/2020,,,
dotAGE,-25%,"R$ 41,24",91.12%,10/2023,,,
Multi Turret Academy,-15%,"R$ 25,49",91.04%,01/2024,,,
Summer Memories,-75%,"R$ 9,49",90.77%,06/2020,,,
Islets,-50%,"R$ 29,99",90.68%,08/2022,,,
Tiny Terry's Turbo Trip,-33%,"R$ 36,84",90.66%,05/2024,,,
Cross Princess,-35%,"R$ 6,81",90.34%,09/2020,,,
Short Stories Collection of Class Tangerine,-60%,"R$ 6,39",90.27%,09/2017,,,
Hearts of Iron IV,-70%,"R$ 53,99",90.06%,06/2016,,,
Ambrosia,-25%,"R$ 21,74",89.96%,01/2021,,,
Weird RPG,-50%,"R$ 11,39",89.70%,10/2022,,,
Ten Trials of Babel: The Doppelganger Maze,-10%,"R$ 9,00",89.67%,03/2022,,,
A Little to the Left,-40%,"R$ 25,79",89.64%,11/2022,,,
Demons Roots,-25%,"R$ 28,49",89.63%,01/2023,,,
Ys: The Oath in Felghana,-70%,"R$ 8,39",89.58%,03/2012,,,
Galaxy Burger,-20%,"R$ 28,79",89.55%,08/2024,,,
Gourdlets,-20%,"R$ 13,59",89.37%,08/2024,,,
Total War: NAPOLEON – Definitive Edition,-75%,"R$ 21,24",89.35%,02/2010,,,
Pizza Possum,-40%,"R$ 14,10",89.34%,09/2023,,,
Overcooked! 2,-75%,"R$ 14,97",89.25%,08/2018,,,
Showgunners,-60%,"R$ 35,59",89.18%,05/2023,,,
Bear's Restaurant,-30%,"R$ 18,82",89.13%,10/2021,,,
Total War: EMPIRE – Definitive Edition,-75%,"R$ 21,24",89.00%,03/2009,,,
Choice of Life: Middle Ages 2,-60%,"R$ 9,40",88.83%,09/2022,,,
Cat God Ranch,-10%,"R$ 29,69",88.83%,09/2024,,,
Cataclismo,-35%,"R$ 45,49",88.59%,07/2024,,,
Medieval II: Total War™ Kingdoms,-75%,"R$ 21,24",88.48%,08/2007,,,
Re: LieF ~ Shin'ainaru Anata e~,-60%,"R$ 26,39",88.48%,02/2021,,,
Fate/Samurai Remnant,-43%,"R$ 170,43",88.45%,09/2023,,,
Go-Go Town!,-10%,"R$ 44,99",88.33%,06/2024,,,
Yolk Heroes: A Long Tamago,-21%,"R$ 20,92",88.32%,05/2024,,,
The Escapists,-80%,"R$ 9,19",88.10%,02/2015,,,
The Wandering Village,-25%,"R$ 35,61",87.66%,09/2022,,,
The Herbalist,-40%,"R$ 7,19",87.64%,11/2016,,,
