Name,Discount_percentage,Price,Rating,Release,Ends,Started,Jogos Gratis
Half-Life 2,-100%,"R$ 0,00",96.39%,11/2004,in 3 days,1 hour ago,free
Left 4 Dead 2,-80%,"R$ 6,60",96.74%,11/2009,in 3 days,yesterday,
Isonzo,-67%,"R$ 29,36",81.07%,09/2022,in 12 days,yesterday,
Millennia,-50%,"R$ 84,99",67.10%,03/2024,in 11 days,3 days ago,
Sea Power : Naval Combat in the Missile Age,-10%,"R$ 121,49",81.63%,11/2024,in 11 days,4 days ago,
Mouthwashing,-10%,"R$ 37,79",94.27%,09/2024,in 3 days,4 days ago,
STORY OF SEASONS: Friends of Mineral Town,-75%,"R$ 23,49",90.72%,07/2020,in 4 days,10 days ago,
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,-90%,"R$ 4,99",90.61%,09/2011,in 3 days,4 days ago,
Wall World,-70%,"R$ 5,09",89.06%,04/2023,in 7 days,7 days ago,
Anger Foot,-30%,"R$ 51,79",88.88%,07/2024,in 3 days,11 days ago,
Rune Factory 3 Special,-60%,"R$ 55,99",88.67%,09/2023,in 4 days,10 days ago,
Assemble with Care,-70%,"R$ 7,94",88.14%,03/2020,in 14 days,5 hours ago,
Grounded,-50%,"R$ 98,86",87.75%,09/2022,in 3 days,5 hours ago,
Crime Scene Cleaner,-20%,"R$ 44,79",94.75%,08/2024,in 12 days,2 days ago,
LIZARDS MUST DIE,-50%,"R$ 3,49",94.59%,09/2023,in 3 days,11 days ago,
Stacklands,-40%,"R$ 15,89",94.31%,04/2022,in 12 days,2 days ago,
Aokana - Four Rhythms Across the Blue - EXTRA2,-27%,"R$ 54,01",94.28%,12/2022,in 3 days,4 days ago,
A Space for the Unbound,-40%,"R$ 35,99",93.96%,01/2023,in 12 days,2 days ago,
Epiphyllum in Love,-40%,"R$ 7,20",93.82%,03/2020,in 3 days,4 days ago,
Total War: MEDIEVAL II – Definitive Edition,-75%,"R$ 21,24",93.72%,11/2006,in 3 days,4 days ago,
Winter Memories,-20%,"R$ 30,39",93.70%,01/2024,in 11 days,yesterday,
Frog Detective 3: Corruption at Cowboy County,-45%,"R$ 9,34",93.66%,10/2022,in 3 days,4 days ago,
Loddlenaut,-50%,"R$ 27,49",93.59%,11/2023,in 6 days,yesterday,
Game Dev Tycoon,-75%,"R$ 7,49",93.49%,08/2013,in 4 days,10 days ago,
PlateUp!,-66%,"R$ 20,39",93.05%,08/2022,in 10 days,4 days ago,
Against the Storm,-50%,"R$ 34,99",92.92%,12/2023,in 8 days,6 days ago,
Snufkin: Melody of Moominvalley,-20%,"R$ 47,99",92.85%,03/2024,in 3 days,11 days ago,
Cobalt Core,-25%,"R$ 44,99",92.55%,11/2023,in 5 days,2 days ago,
Pentiment,-50%,"R$ 49,50",92.05%,11/2022,in 3 days,5 hours ago,
Corpse Party: Sweet Sachiko's Hysteric Birthday Bash,-60%,"R$ 15,19",81.06%,04/2019,in 4 days,10 days ago,
SENRAN KAGURA Reflexions,-70%,"R$ 6,20",80.86%,06/2019,in 4 days,10 days ago,
Fairy Bloom Freesia,-60%,"R$ 6,39",80.70%,10/2012,in 4 days,10 days ago,
Total War: ATTILA,-75%,"R$ 28,24",80.59%,02/2015,in 3 days,4 days ago,
It Lurks Below,-55%,"R$ 17,09",80.54%,05/2019,in 19 hours,6 days ago,
No More Heroes 3,-65%,"R$ 37,79",79.39%,10/2022,in 4 days,10 days ago,
Kandagawa Jet Girls,-70%,"R$ 22,64",79.20%,08/2020,in 4 days,10 days ago,
Necroking,-33%,"R$ 11,38",79.08%,09/2024,in 9 days,5 days ago,
DeathSprint 66,-33%,"R$ 49,57",78.36%,09/2024,in 10 days,4 days ago,
Ship Graveyard Simulator 2,-38%,"R$ 45,87",78.28%,08/2023,in 5 days,yesterday,
SENRAN KAGURA Peach Beach Splash,-70%,"R$ 17,39",78.05%,03/2018,in 4 days,10 days ago,
Norland,-35%,"R$ 45,49",77.86%,07/2024,in 12 days,yesterday,
Song Of The Prairie,-30%,"R$ 41,99",77.65%,08/2024,in 5 days,9 days ago,
Songs of Silence,-25%,"R$ 43,49",77.41%,11/2024,in 12 days,2 days ago,
Gamedec - Definitive Edition,-70%,"R$ 26,69",77.40%,09/2021,in 12 days,2 days ago,
"Warhammer 40,000: Inquisitor - Prophecy",-80%,"R$ 14,79",76.91%,07/2019,in 11 days,3 days ago,
STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™,-65%,"R$ 11,54",91.52%,02/2005,in 3 days,5 hours ago,
Wingspan,-50%,"R$ 29,99",91.51%,09/2020,in 12 days,2 days ago,
FIND ALL 4: Magic,-26%,"R$ 5,17",91.48%,09/2023,in 7 days,6 days ago,
Creaks,-75%,"R$ 13,74",91.41%,07/2020,in 3 days,11 days ago,
Behind the Frame: The Finest Scenery,-40%,"R$ 25,19",91.41%,08/2021,in 6 days,yesterday,
Necesse,-35%,"R$ 30,54",91.38%,12/2019,in 3 days,11 days ago,
Sledders,-20%,"R$ 59,19",91.38%,12/2023,in 5 days,2 days ago,
"Cook, Serve, Delicious!",-80%,"R$ 3,99",91.23%,10/2013,in 3 days,4 days ago,
Meg's Monster,-15%,"R$ 39,94",91.22%,03/2023,in 5 days,2 days ago,
Kinkoi: Golden Time,-37%,"R$ 56,06",91.18%,07/2022,in 3 days,4 days ago,
Gaokao.Love.100Days,-40%,"R$ 17,40",91.14%,05/2015,in 3 days,4 days ago,
Tiny Snow,-40%,"R$ 7,20",91.13%,02/2019,in 3 days,4 days ago,
Zenge,-50%,"R$ 3,49",91.09%,04/2016,in 3 days,4 days ago,
Card Survival: Tropical Island,-50%,"R$ 23,74",91.06%,09/2022,in 7 days,6 hours ago,
Hamidashi Creative,-30%,"R$ 62,29",91.06%,09/2022,in 3 days,4 days ago,
The Darkside Detective,-55%,"R$ 21,14",91.05%,07/2017,in 6 days,yesterday,
Garden of the Sea (VR),-5%,"R$ 56,98",87.73%,01/2022,—,yesterday,
Little Mouse's Encyclopedia,-75%,"R$ 2,72",87.71%,02/2019,in 3 days,4 days ago,
100 hidden snails 2,-80%,"R$ 2,09",87.70%,02/2021,in 3 days,4 days ago,
OPUS: Rocket of Whispers,-50%,"R$ 23,49",87.67%,02/2018,in 4 days,10 days ago,
Ethereal Enigma,-75%,"R$ 14,99",87.66%,08/2020,in 3 days,4 days ago,
Tom Clancy's Rainbow Six® 3 Gold,-75%,"R$ 7,49",87.66%,03/2003,in 2 days,12 days ago,
纯爱独白：小小 Purelove Monologue: Xiaoxiao,-30%,"R$ 11,89",87.65%,03/2024,in 3 days,8 days ago,
A Juggler's Tale,-80%,"R$ 10,99",87.59%,09/2021,in 3 days,11 days ago,
ODDADA,-20%,"R$ 26,39",87.58%,08/2024,in 11 days,3 days ago,
Pyrene,-15%,"R$ 39,94",87.56%,09/2024,in 5 days,2 days ago,
Sweet Shine,-26%,"R$ 14,57",87.51%,08/2021,in 18 hours,13 days ago,
MEMOLOGY: GOYDA,-70%,"R$ 2,09",87.48%,05/2024,in 12 days,yesterday,
LunarLux,-52%,"R$ 29,89",87.47%,09/2023,in 11 days,3 days ago,
Oh...Sir!! The Insult Simulator,-60%,"R$ 2,79",87.46%,10/2016,in 5 days,2 days ago,
Grow Up,-75%,"R$ 7,49",87.45%,08/2016,in 2 days,12 days ago,
OXXO,-50%,"R$ 3,49",87.44%,08/2019,in 3 days,4 days ago,
Hadean Tactics,-40%,"R$ 26,99",85.71%,08/2023,in 5 days,2 days ago,
Project Hospital,-50%,"R$ 35,00",85.70%,10/2018,in 3 days,4 days ago,
"Cook, Serve, Delicious! 2!!",-80%,"R$ 5,19",85.59%,09/2017,in 3 days,4 days ago,
Solasta: Crown of the Magister,-70%,"R$ 26,69",85.59%,05/2021,in 3 days,4 days ago,
Lost Lands: The Four Horsemen Collector's Edition,-50%,"R$ 16,49",85.56%,07/2015,in 3 days,4 days ago,
Worms Ultimate Mayhem,-80%,"R$ 6,39",85.55%,09/2011,in 12 days,2 days ago,
Coffee flavor of love 咖啡甜恋,-45%,"R$ 4,77",85.55%,02/2021,in 3 days,4 days ago,
Castle on the Coast,-30%,"R$ 43,73",85.50%,12/2021,—,5 hours ago,
Été,-20%,"R$ 51,99",85.50%,07/2024,in 6 days,yesterday,
Unlock The Cat,-50%,"R$ 3,49",85.47%,03/2021,in 3 days,11 days ago,
UBERMOSH,-90%,"R$ 1,74",85.46%,08/2015,in 12 days,2 days ago,
Nordic Ashes: Survivors of Ragnarok,-25%,"R$ 20,25",85.46%,04/2024,in 9 days,5 hours ago,
The Rise of the Golden Idol,-10%,"R$ 53,99",85.44%,11/2024,in 4 days,3 days ago,
Dream Tactics,-30%,"R$ 38,49",85.42%,04/2024,in 12 days,2 days ago,
Driver® Parallel Lines,-75%,"R$ 7,49",85.40%,06/2007,in 2 days,12 days ago,
Banner of the Maid,-80%,"R$ 11,99",85.35%,05/2019,in 3 days,4 days ago,
AI War 2,-75%,"R$ 14,99",84.08%,10/2019,in 3 days,4 days ago,
Long Gone Days,-30%,"R$ 51,79",84.05%,10/2023,in 5 days,2 days ago,
镜花饴情 Mirage Sugar Acacia,-25%,"R$ 7,86",84.04%,04/2024,in 3 days,8 days ago,
Old Man's Journey,-50%,"R$ 13,24",84.01%,05/2017,in 3 days,4 days ago,
Project Cappuccino,-25%,"R$ 35,24",83.99%,11/2019,in 3 days,4 days ago,
Worms Reloaded,-80%,"R$ 20,98",83.98%,08/2010,in 12 days,2 days ago,
Adventure Time: Pirates of the Enchiridion,-60%,"R$ 18,99",83.98%,07/2018,in 2 days,7 days ago,
Animal Shelter,-60%,"R$ 23,99",83.97%,03/2022,in 8 days,6 days ago,
Tsuro - The Game of The Path,-50%,"R$ 9,99",83.97%,10/2020,in 5 days,2 days ago,
Cat Cafe Manager,-60%,"R$ 23,99",83.96%,04/2022,in 11 days,3 days ago,
Late Shift,-53%,"R$ 22,08",83.96%,04/2017,in 5 days,9 days ago,
日日夜夜,-50%,"R$ 4,34",83.95%,10/2020,in 3 days,8 days ago,
Witchtastic,-35%,"R$ 22,74",83.94%,10/2021,in 3 days,4 days ago,
Temple Of Snek,-50%,"R$ 12,44",83.93%,02/2023,in 3 days,4 days ago,
Monster Energy Supercross - The Official Videogame 3,-90%,"R$ 12,45",83.89%,02/2020,in 3 days,4 days ago,
Regiments,-25%,"R$ 43,49",83.89%,08/2022,in 4 days,3 days ago,
Wildmender,-33%,"R$ 60,29",82.77%,09/2023,in 6 days,yesterday,
Far Cry® 4,-80%,"R$ 17,99",82.76%,11/2014,in 2 days,5 days ago,
Atelier Marie Remake: The Alchemist of Salburg,-40%,"R$ 149,40",82.75%,07/2023,in 12 days,2 days ago,
Basements n' Basilisks: Storms of Sorcery,-35%,"R$ 6,81",82.73%,02/2023,in 3 days,4 days ago,
Atelier Escha & Logy: Alchemists of the Dusk Sky DX,-50%,"R$ 99,50",82.72%,01/2020,in 12 days,2 days ago,
Greedland,-11%,"R$ 34,87",82.72%,08/2023,—,2 days ago,
Endless Fables 2: Frozen Path,-75%,"R$ 7,24",82.71%,11/2017,in 11 days,3 days ago,
Angry Putin,-10%,"R$ 2,06",82.66%,02/2021,in 5 days,9 days ago,
Lolita Expedition,-25%,"R$ 23,54",82.64%,01/2022,in 3 days,4 days ago,
Zorbus,-30%,"R$ 14,34",82.63%,09/2022,in 5 days,9 days ago,
Instant Farmer - Logic Puzzle,-30%,"R$ 4,89",82.63%,02/2021,in 5 days,9 days ago,
Of Life and Land,-25%,"R$ 55,49",82.62%,04/2024,in 11 days,3 days ago,
Adorable Girls,-70%,"R$ 2,09",82.61%,02/2021,in 12 days,yesterday,
Rising Hell,-50%,"R$ 16,49",82.61%,05/2021,in 12 days,2 days ago,
Adverse Effects,-35%,"R$ 11,04",82.61%,11/2023,in 7 days,5 hours ago,
MHRD,-20%,"R$ 15,99",82.61%,01/2017,in 3 days,4 days ago,
CHUCHEL,-80%,"R$ 4,99",81.15%,03/2018,in 3 days,11 days ago,
Rage in Peace,-80%,"R$ 8,39",81.15%,11/2018,in 12 days,2 days ago,
Trainee Death Simulator,-10%,"R$ 18,44",81.15%,11/2024,in 11 days,3 days ago,
Sir Whoopass™: Immortal Death,-50%,"R$ 16,49",81.14%,08/2022,in 8 days,6 days ago,
Clock Simulator,-80%,"R$ 2,75",81.11%,07/2016,in 3 days,4 days ago,
Remember Me,-80%,"R$ 9,99",81.11%,06/2013,in 6 days,8 days ago,
Starship EVO,-40%,"R$ 35,99",81.10%,06/2020,in 19 hours,3 days ago,
Master of Love,-20%,"R$ 28,63",81.09%,09/2024,in 12 days,3 days ago,
Solo leeching~35-Year-Old Magician Journey,-20%,"R$ 28,63",81.03%,06/2024,in 3 days,4 days ago,
